Rank,Team,Conf,W,L,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_R,Luck,Luck_R,AdjEM,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM,AdjEM_R
50,Virginia Tech,ACC,22,11,13.8,117.4,21,103.6,156,68.4,164,0.053,51,8.24,47,109.9,36,101.7,65,-7.98,341
51,Seton Hall,BE,21,12,13.64,109.5,83,95.8,34,67.5,214,0.058,43,9.65,31,110.2,29,100.5,37,-2.1,218
53,USC,P12,26,10,13.46,114.2,38,100.7,91,68.7,135,0.079,16,5.49,71,108.7,54,103.2,106,-3.37,255
55,Syracuse,ACC,19,15,13.31,115.6,30,102.3,118,66.7,245,-0.048,293,7.2,57,108.3,61,101.1,50,-3.21,248
56,Alabama,SEC,19,15,13.08,105.3,153,92.2,10,65.1,302,-0.055,307,7.15,58,108,64,100.9,46,-1.64,204
57,Tennessee,SEC,16,16,12.62,110.1,73,97.5,56,69.3,100,-0.053,299,11.2,16,109.2,46,98,3,6.58,29
60,Providence,BE,20,13,12.43,108.5,100,96.1,41,66.1,271,0.014,152,7.9,52,109.1,49,101.2,54,-4.48,287
61,Georgia,SEC,19,15,12.38,108.7,96,96.4,44,67.1,227,0.015,148,10.96,20,109.9,37,98.9,10,4.54,44
62,California,P12,21,13,12.13,104.9,160,92.7,14,65.7,289,-0.012,217,5.01,75,107.1,76,102.1,71,-2.41,226
64,Texas A&M,SEC,16,15,11.48,108.8,95,97.3,54,64.5,312,-0.042,287,7.97,51,109.4,45,101.4,59,-1.94,215
66,Illinois,B10,20,15,11.31,107.2,123,95.9,35,66.7,253,0.028,105,8.41,44,109.6,40,101.2,53,-0.16,158
69,Georgetown,BE,14,18,10.72,108.4,103,97.7,58,68.6,146,-0.102,345,9.68,30,110.9,14,101.2,55,1.85,99
71,Iowa,B10,19,15,10.48,113,43,102.6,122,71.2,44,0.011,161,6.95,62,108,66,101.1,49,-3.6,263
72,Colorado,P12,19,15,10.3,112.6,44,102.3,116,67.7,201,-0.05,295,5.26,73,107.6,69,102.4,77,-0.92,180
73,Ohio State,B10,17,15,10.2,111.1,60,100.9,99,67.9,192,-0.054,302,6.78,65,107.3,73,100.5,41,-4.55,290
74,Ole Miss,SEC,22,14,10.16,111.1,62,100.9,97,71.6,33,0.062,37,7.31,56,107.8,68,100.5,36,-0.72,174
77,Georgia Tech,ACC,21,16,9,100,259,91,6,68.1,179,0.069,26,8.41,43,110.1,32,101.7,66,-5.28,304
79,Pittsburgh,ACC,16,17,8.73,112.4,48,103.7,159,65.3,298,0.044,70,10.42,26,110.8,15,100.4,30,0.08,151
82,Auburn,SEC,18,14,8.52,111.9,54,103.3,145,73.5,10,0.045,68,6.99,61,107.5,70,100.5,35,1.35,119
87,Penn State,B10,15,18,7.3,104.5,168,97.2,52,70.4,63,-0.013,220,8.52,42,108.5,60,100,26,0.43,141
88,Mississippi State,SEC,16,16,7.26,106.6,135,99.3,72,68.9,118,-0.032,264,5.29,72,106.2,83,101,48,-6.23,323
99,St. John's,BE,14,19,6.26,109,90,102.7,130,73.2,11,-0.039,283,9.18,35,109.5,42,100.3,29,-2.77,234
102,Stanford,P12,14,17,5.91,104.8,161,98.9,65,68.3,171,-0.008,202,8.54,41,110.1,30,101.6,63,6.04,33
107,Nebraska,B10,12,19,5.13,105,157,99.8,77,68,185,0.011,164,11.37,14,111.2,11,99.8,24,6.66,27
109,North Carolina State,ACC,15,17,4.98,112.6,45,107.6,229,70.2,70,0.019,134,7.58,55,108.5,58,100.9,47,-6.14,321
125,Arizona State,P12,15,18,2.81,111.8,55,109,257,70,78,0.035,87,6.49,67,108.6,57,102.1,72,-1.06,185
135,Rutgers,B10,15,18,2.22,101.4,231,99.2,69,66.2,266,0.006,177,6.7,66,107.4,71,100.7,44,-9.39,347
156,Missouri,SEC,8,24,0.64,101.5,229,100.9,96,67.9,190,-0.16,350,6.83,64,108,65,101.2,56,-5.07,301
163,Washington,P12,9,22,0.34,107.8,110,107.4,225,71,51,-0.103,346,6.88,63,109.4,43,102.5,81,-2.27,220
172,LSU,SEC,10,21,-0.25,109.6,80,109.9,280,71.9,27,0.008,169,9.24,34,108.7,55,99.4,14,2.91,69
173,Boston College,ACC,9,23,-0.28,103.9,185,104.2,163,71.1,46,-0.032,266,8.18,48,110.3,25,102.2,74,-6.42,327
184,DePaul,BE,9,23,-1.05,103.5,190,104.5,172,67.6,208,-0.069,322,6.99,60,108.8,53,101.8,69,-7.12,336
193,Washington State,P12,13,18,-1.72,104.4,170,106.1,204,67.6,205,0.067,31,6.37,68,109.2,47,102.8,92,-3.03,243
264,Oregon State,P12,5,27,-8.72,97,305,105.7,194,64.5,313,-0.067,321,5.88,69,108.2,63,102.3,76,-5.07,300
